user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
1,0.99,0.51,0.01,1
1,0.99,0.79,0.01,1
1,0.99,0.79,0.01,1
1,0.99,0.79,0.01,1
1,0.99,0.79,0.01,1
1,0.99,0.79,0.01,1
1,0.99,0.79,0.01,1
1,0.81,0.76,0.01,1
1,0.81,0.76,0.01,1
1,0.81,0.76,0.01,1
1,0.81,0.76,0.01,1
1,0.81,0.76,0.01,1
1,0.36,0.56,0.07,1
1,0.36,0.56,0.07,1
1,0.36,0.56,0.07,1
1,1,1,0,1
1,0.32,0.49,0.03,1
1,0.47,0.93,0.01,1
1,0.64,0.9,0.01,1
1,0.64,0.9,0.01,1
1,0.64,0.9,0.01,1
1,0.86,0.99,0.02,1
1,0.86,0.99,0.02,1
1,0.86,0.99,0.02,1
1,0.75,0.99,0.01,1
1,0.75,0.99,0.01,1
1,0.75,0.99,0.01,1
1,0.88,0.99,0.01,1
1,0.88,0.99,0.01,1
1,0.88,0.99,0.01,1
1,0.94,0.76,0.01,1
1,0.94,0.76,0.01,1
1,0.94,0.76,0.01,1
1,0.84,0.85,0.01,1
1,0.84,0.85,0.01,1
1,0.84,0.85,0.01,1
1,0.7,0.91,0.01,1
1,0.7,0.91,0.01,1
1,0.7,0.91,0.01,1
1,0.77,0.96,0.01,1
1,0.77,0.96,0.01,1
1,0.77,0.96,0.01,1
1,0.87,0.99,0.01,1
1,0.87,0.99,0.01,1
1,0.87,0.99,0.01,1
1,0.85,0.99,0.01,1
1,0.85,0.99,0.01,1
1,0.85,0.99,0.01,1
1,0.82,0.74,0.01,1
1,0.82,0.74,0.01,1
1,0.82,0.74,0.01,1
1,0.73,0.75,0.01,1
1,0.73,0.75,0.01,1
1,0.73,0.75,0.01,1
1,0.89,0.96,0.01,1
1,0.89,0.96,0.01,1
1,0.89,0.96,0.01,1
1,0.92,0.92,0.01,1
1,0.92,0.92,0.01,1
1,0.92,0.92,0.01,1
1,0.89,0.99,0.01,1
1,0.99,0.98,0.02,0
1,0.99,0.98,0.02,0
1,1,1,0,0
1,0.99,0.99,0.01,0
1,0.99,0.99,0.01,0
1,0.99,0.99,0.01,0
1,0.99,0.99,0.01,0
1,0.99,0.99,0.01,0
1,0.99,0.99,0.01,0
1,0.92,0.87,0.02,0
1,0.92,0.87,0.02,0
1,0.92,0.87,0.02,0
1,0.92,0.87,0.02,0
1,0.92,0.87,0.02,0
1,0.99,0.99,0.08,0
1,0.99,0.99,0.08,0
1,0.99,0.99,0.08,0
1,0.99,0.99,0.08,0
1,0.99,0.99,0.08,0
1,0.99,0.99,0.02,0
1,0.99,0.99,0.02,0
1,0.99,0.99,0.02,0
1,0.99,0.99,0.02,0
1,1,0.99,0.01,0
1,1,0.99,0.01,0
1,1,0.99,0.01,0
1,1,0.99,0.01,0
1,1,0.99,0.01,0
1,1,0.99,0.01,0
1,0.13,0.42,0.01,0
1,0.13,0.42,0.01,0
1,0.13,0.42,0.01,0
1,1,0.99,0.01,0
1,1,0.99,0.01,0
1,1,0.99,0.01,0
1,1,1,0.01,0
1,1,1,0.01,0
1,1,1,0.01,0
1,1,0.99,0.01,0
1,1,0.99,0.01,0
1,1,0.99,0.01,0
1,1,0.99,0.01,0
1,1,0.99,0.01,0
1,1,0.99,0.01,0
